OBJECTID,DATE,Count_
1,2020/03/13 14:00:00+00,2
2,2020/03/14 14:00:00+00,3
3,2020/03/15 14:00:00+00,
4,2020/03/16 14:00:00+00,4
5,2020/03/17 14:00:00+00,
6,2020/03/18 14:00:00+00,14
7,2020/03/19 14:00:00+00,14
8,2020/03/20 14:00:00+00,15
9,2020/03/21 14:00:00+00,16
10,2020/03/22 14:00:00+00,26
11,2020/03/23 14:00:00+00,34
12,2020/03/24 14:00:00+00,50
13,2020/03/25 14:00:00+00,67
14,2020/03/26 14:00:00+00,132
15,2020/03/27 14:00:00+00,173
16,2020/03/28 14:00:00+00,226
17,2020/03/29 14:00:00+00,277
18,2020/03/30 14:00:00+00,353
19,2020/03/31 14:00:00+00,429
20,2020/04/01 14:00:00+00,522
21,2020/04/02 14:00:00+00,582
22,2020/04/03 14:00:00+00,664
23,2020/04/04 14:00:00+00,821
24,2020/04/05 14:00:00+00,936
25,2020/04/06 14:00:00+00,1059
26,2020/04/07 14:00:00+00,1106
27,2020/04/08 14:00:00+00,1210
28,2020/04/09 14:00:00+00,1348
29,2020/04/10 14:00:00+00,1413
30,2020/04/11 14:00:00+00,1709
31,2020/04/12 14:00:00+00,1860
32,2020/04/13 14:00:00+00,1975
33,2020/04/14 14:00:00+00,2122
34,2020/04/15 14:00:00+00,2231
35,2020/04/16 14:00:00+00,2451
36,2020/04/17 14:00:00+00,2612
37,2020/04/18 14:00:00+00,2757
38,2020/04/19 14:00:00+00,2886
39,2020/04/20 14:00:00+00,3014
40,2020/04/21 14:00:00+00,3158
41,2020/04/22 14:00:00+00,3325
42,2020/04/23 14:00:00+00,3477
43,2020/04/24 14:00:00+00,3618
44,2020/04/25 14:00:00+00,3760
45,2020/04/26 14:00:00+00,3962
46,2020/04/27 14:00:00+00,4101
47,2020/04/28 14:00:00+00,4268
48,2020/04/29 14:00:00+00,4402
49,2020/04/30 14:00:00+00,4559
50,2020/05/01 14:00:00+00,4718
51,2020/05/02 14:00:00+00,4910
52,2020/05/03 14:00:00+00,5051
53,2020/05/04 14:00:00+00,5199
54,2020/05/05 14:00:00+00,5337
55,2020/05/06 14:00:00+00,5497
56,2020/05/07 14:00:00+00,5663
57,2020/05/08 14:00:00+00,5811
58,2020/05/09 14:00:00+00,5932
59,2020/05/10 14:00:00+00,5955
60,2020/05/11 14:00:00+00,6183
61,2020/05/12 14:00:00+00,6287
62,2020/05/13 14:00:00+00,6404
63,2020/05/14 14:00:00+00,6553
64,2020/05/15 14:00:00+00,6679
65,2020/05/16 14:00:00+00,6755
66,2020/05/17 14:00:00+00,6993
67,2020/05/18 14:00:00+00,7086
68,2020/05/19 14:00:00+00,7199
69,2020/05/20 14:00:00+00,7393
70,2020/05/21 14:00:00+00,7485
71,2020/05/22 14:00:00+00,7634
72,2020/05/23 14:00:00+00,7825
73,2020/05/24 14:00:00+00,7939
74,2020/05/25 14:00:00+00,8092
75,2020/05/26 14:00:00+00,8179
76,2020/05/27 14:00:00+00,8281
77,2020/05/28 14:00:00+00,8392
78,2020/05/29 14:00:00+00,8479
79,2020/05/30 14:00:00+00,8619
80,2020/05/31 14:00:00+00,8738
81,2020/06/01 14:00:00+00,8886
82,2020/06/02 14:00:00+00,8957
83,2020/06/03 14:00:00+00,9111
84,2020/06/04 14:00:00+00,9217
85,2020/06/05 14:00:00+00,9346
86,2020/06/06 14:00:00+00,9451
87,2020/06/07 14:00:00+00,9546
88,2020/06/08 14:00:00+00,9629
89,2020/06/09 14:00:00+00,9676
90,2020/06/10 14:00:00+00,9755
91,2020/06/11 14:00:00+00,9789
92,2020/06/12 14:00:00+00,9923
